발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
슈크림제일차,서울특별시,강서구,가양동,449-19번지,특수용도,지식산업센터,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
올마이티제일차,서울특별시,강남구,논현동,74-7번지,0,0,0
지아이비길동,서울특별시,강동구,길동,415-9번지,오피스텔,오피스텔,0
지아이비길동,서울특별시,강동구,길동,415-9번지,오피스텔,오피스텔,0
지아이비길동,서울특별시,강동구,길동,415-9번지,오피스텔,오피스텔,0
지아이비은평,서울특별시,은평구,증산동,223-15번지,0,0,0
지아이비황금,대구광역시,수성구,황금동,862-5번지,공동주택/상업업무,주상복합,0
차온제일차,대전광역시,동구,소제동,291-6번지,공동주택(확인필요),아파트(확인필요),0
차온제일차,대전광역시,동구,소제동,291-6번지,공동주택(확인필요),아파트(확인필요),0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리브인엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
리치게이트여상,인천광역시,중구,사동,23-4번지,공동주택,아파트,본 PF
리치게이트여상,인천광역시,중구,사동,23-4번지,공동주택,아파트,본 PF
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
비엔케이썸제구차,서울특별시,강서구,가양동,92-1번지,특수용도,지식산업센터,브릿지론
제이에이스토리제일차,경기도,평택시,현덕면,화양리,용도복합,도시개발,0
제이에이스토리제일차,경기도,평택시,현덕면,화양리,용도복합,도시개발,0
제이에이스토리제일차,경기도,평택시,현덕면,화양리,용도복합,도시개발,0
제이에이스토리제일차,경기도,평택시,현덕면,화양리,용도복합,도시개발,0
제이에이스토리제일차,경기도,평택시,현덕면,화양리,용도복합,도시개발,0
제이에이스토리제일차,경기도,평택시,현덕면,화양리,용도복합,도시개발,0
지아이비초월,경기도,광주시,초월읍,신월리,산업시설,물류,0
지아이비초월,경기도,광주시,초월읍,신월리,산업시설,물류,0
지아이비초월,경기도,광주시,초월읍,신월리,산업시설,물류,0
지아이비초월,경기도,광주시,초월읍,신월리,산업시설,물류,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
