발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
베스트디와이제이십차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
비욘드운교제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)오성디앤씨
빅웨이브제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
실버스타제이차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,남광토건
아이비케이에스와이신촌,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
알피용산제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,미정
알피용산제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,미정
알피용산제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,미정
에이블가산제일차,금융기관,케이비증권,유동화증권 매입보장,자이에스앤디
엠에스안흥제일차,조회실패,조회실패,조회실패,조회실패
엠에이동탄제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
유니에코컴퍼니,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
유니에코컴퍼니,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
이프권선제일차,금융기관,현대차증권,유동화증권 매입보장,삼성물산(주)
지아이비사화,금융기관,신한은행,유동화증권 매입보장,롯데건설
지아이비사화,금융기관,신한은행,유동화증권 매입보장,롯데건설
지타레스제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
크림슨케이제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,미정
그레이트거제제이차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
그레이트거제제이차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
그레이트거제제일차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
기은센갈매에이치티,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
뉴스타빌리브,금융기관,케이비증권,유동화증권 매입보장,신세계건설
