플랜번호,발행인,증권종류,종목코드,종목명,발행일,만기일,옵션,모집구분,기초자산,통화,환율,발행금액,원화환산발행금액,표면이율,이자유형,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,시/도,시/구,동/읍,상세주소,브릿지론/본PF,신용보강기관종류1,신용보강기관종류2,신용보강기관명1,신용보강기관명2,신용보강형태1,신용보강형태2,신용보강기관 신용등급,사업용도,사업용도 세부종목,시공사,시공사구간,시공사 신용등급,트렌치,전체 트렌치 수,전체 대출약정 규모(억 원),분양률(%)
63197,글로리첨단제일차,AB사채,KR6462212D97,글로리첨단제일차 1-2(사모/콜),20230918,20270320,CALL,사모,PF대출채권,KRW,,"5,100,000,000 ","5,100,000,000 ",8.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63190,비욘드운정제이차,AB사채,KR6467161D97,비욘드운정제이차1(사모/강제),20230918,20240315,옵션해당없음,사모,PF대출채권,KRW,,"30,000,000,000 ","30,000,000,000 ",5.2,고정-이표,,AA-,AA-,,,,,,,,,,,,,,,,,,,,,,
63211,실버라이닝제삼차,AB사채,KR6467911D90,실버라이닝제삼차1(사모/콜),20230918,20270918,CALL,사모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63205,힐포트리스,AB사채,KR6434231D93,힐포트리스3(사모/콜),20230918,20240918,CALL,사모,PF대출채권,KRW,,"1,500,000,000 ","1,500,000,000 ",8.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63157,챔피언안산유동화제일차,AB사채,KR6463011D98,챔피언안산유동화제일차 1(사모/콜/강제),20230914,20241011,CALL,사모,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",10,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63116,에프엔우동제이차,AB사채,KR6421641D94,에프엔우동제이차2(사모/콜),20230911,20240210,CALL,사모,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63070,제이엠제이제구차,AB사채,KR6465801D97,제이엠제이제구차 1-1(사모/콜),20230906,20240728,CALL,사모,PF대출채권,KRW,,"200,000,000 ","200,000,000 ",11.36,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63070,제이엠제이제구차,AB사채,KR6465802D96,제이엠제이제구차 1-2(사모/콜),20230906,20240728,CALL,사모,PF대출채권,KRW,,"1,700,000,000 ","1,700,000,000 ",8,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62967,드림디오반제일차,AB사채,KR6398501D85,드림디오반제일차2(사모/콜/강제),20230831,20240701,CALL,사모,PF대출채권,KRW,,"2,000,000,000 ","2,000,000,000 ",13,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62964,비욘드부대제일차,AB사채,KR6393203D87,비욘드부대제일차5(사모/콜),20230831,20240430,CALL,사모,PF대출채권,KRW,,"800,000,000 ","800,000,000 ",9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62885,디벨롭고양,AB사채,KR6369531D80,디벨롭고양3(사모/콜),20230830,20241213,CALL,사모,PF대출채권,KRW,,"21,600,000,000 ","21,600,000,000 ",6.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62986,상봉제일차유동화전문,ABS,KR6465911D86,상봉제일차유동화전문 1(사모/콜/강제),20230830,20260902,CALL,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",4.8,고정-이표,,AAA,,,,,,,,,,,,,,,,,,,,,,,
62953,비욘드성성제이차,AB사채,KR6393194D88,비욘드성성제이차 2(사모/콜),20230829,20240430,CALL,사모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",8,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62952,선문제삼차,AB사채,KR6441861D87,선문제삼차2(사모/콜/강제),20230829,20240829,CALL,사모,PF대출채권,KRW,,"3,300,000,000 ","3,300,000,000 ",10,변동-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62928,더블유에스제일차유동화전문,ABS,KR6464651D83,더블유에스제일차유동화전문1(콜/강제),20230825,20280205,CALL,공모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",5.05,고정-이표,AAA,AAA,,,,,,,,,,,,,,,,,,,,,,,
62922,드림베르힐회천제일차,AB사채,KR6411451D86,드림베르힐회천제일차4(사모/콜),20230825,20240809,CALL,사모,PF대출채권,KRW,,"175,245,245,520 ","175,245,245,520 ",5.4,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62457,비욘드미사제일차,AB사채,KR6462961D82,비욘드미사제일차 1(사모/강제),20230824,20240430,옵션해당없음,사모,PF대출채권,KRW,,"14,500,000,000 ","14,500,000,000 ",5.3,고정-이표,,AA-,AA-,,,,,,,,,,,,,,,,,,,,,,
62879,디비아레나제십구차,AB사채,KR6422501D83,디비아레나제십구차3(사모/콜),20230823,20240807,CALL,사모,PF대출채권,KRW,,"7,000,000,000 ","7,000,000,000 ",6.1,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62878,디비아레나제십팔차,AB사채,KR6422491D85,디비아레나제십팔차3(사모/콜),20230823,20240807,CALL,사모,PF대출채권,KRW,,"16,200,000,000 ","16,200,000,000 ",6,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62869,비욘드부대제일차,AB사채,KR6393201D89,비욘드부대제일차4-1(사모/콜),20230821,20240430,CALL,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",7.9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62869,비욘드부대제일차,AB사채,KR6393202D88,비욘드부대제일차4-2(사모/콜),20230821,20240430,CALL,사모,PF대출채권,KRW,,"2,200,000,000 ","2,200,000,000 ",6.9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62870,비욘드성성제이차,AB사채,KR6393191D81,비욘드성성제이차 1-1(사모/콜),20230821,20240430,CALL,사모,PF대출채권,KRW,,"10,000,000,000 ","10,000,000,000 ",8.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62870,비욘드성성제이차,AB사채,KR6393192D80,비욘드성성제이차 1-2(사모/콜),20230821,20240430,CALL,사모,PF대출채권,KRW,,"7,000,000,000 ","7,000,000,000 ",8,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62870,비욘드성성제이차,AB사채,KR6393193D89,비욘드성성제이차 1-3(사모/콜),20230821,20240430,CALL,사모,PF대출채권,KRW,,"1,000,000,000 ","1,000,000,000 ",8.7,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62796,비욘드봉명제일차,AB사채,KR6464731D87,비욘드봉명제일차1(사모/강제),20230817,20240329,옵션해당없음,사모,PF대출채권,KRW,,"46,500,000,000 ","46,500,000,000 ",5.15,고정-이표,,AA-,AA-,,,,,,,,,,,,,,,,,,,,,,
62723,에이치고색,AB사채,KR6464661D81,에이치고색 1(사모/콜),20230803,20240806,CALL,사모,PF대출채권,KRW,,"24,000,000,000 ","24,000,000,000 ",5.9,고정-이표,,,A+,,,,,,,,,,,,,,,,,,,,,,
62707,베르테르제오차,AB사채,KR6459491D87,베르테르제오차 1(사모/콜),20230801,20270623,CALL,사모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",9.3,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62708,시카리오제일차,AB사채,KR6358671D83,시카리오제일차6(사모/콜),20230801,20240801,CALL,사모,PF대출채권,KRW,,"9,700,000,000 ","9,700,000,000 ",5.6,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62689,비욘드부대제일차,AB사채,KR6393202D70,비욘드부대제일차3(사모/콜),20230731,20240430,CALL,사모,PF대출채권,KRW,,"3,000,000,000 ","3,000,000,000 ",7.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
